N,P,K,temperature,humidity,ph,rainfall,label
25,97,45,22.72111051429327,20.70159792311943,4.961928274425441,90.8532210252495,chickpea
91,115,11,37.33152321522036,78.56499683778338,7.9269445779925025,274.9097708525383,pomegranate
112,76,139,31.427662123166108,92.65799114987888,4.35431894898411,176.12803603957303,muskmelon
57,119,96,21.98966495461246,79.39469277871086,6.944182269774455,173.76996295827817,chickpea
126,66,108,16.479434151446053,19.294201381025733,8.28003317954349,219.60858989216322,ragi
29,63,36,16.366091202579128,36.44274612303399,6.543511778132674,35.25016581984194,pigeonpeas
22,39,12,31.463685102130935,98.4594468874473,4.3626261170167435,235.75533288498727,mango
29,12,102,20.217374748765756,38.731731296893074,6.978796193637669,42.18951202658927,watermelon
123,111,127,31.80862121597118,69.46540685639899,6.7087542222969265,260.5324249909831,grapes
102,108,49,21.989484075097405,96.43551635665699,8.254126345049716,191.12059934799458,apple
10,27,86,37.48638064258023,68.68097851193369,8.17342057111981,101.43839071114664,coffee
124,57,107,21.073531685946993,33.581020686357235,4.097554900460488,216.11031994402228,coconut
16,91,57,41.704425658854674,44.885536084423805,7.946018845461724,117.17603309811156,lentil
42,74,10,23.765897839619974,21.836852521663218,6.422216311408393,279.95886764134394,sugarcane
57,85,122,32.598424781752726,91.8346731089503,4.620624570625678,235.1277907913724,lentil
30,58,23,25.088453284248875,52.43028809834261,7.710738307911601,162.00875521894832,mango
114,96,51,32.380430645710284,16.96381869892834,5.967695592000165,145.34389941823548,mango
49,59,105,18.017363015506387,62.99244421877283,5.48685932806783,76.15690237415231,mothbeans
49,73,60,16.744203968929796,85.25365492644377,6.936148247126694,180.20098270505764,rice
110,76,75,32.69468743740627,95.25277098901874,7.309877162007255,135.96146185020118,pigeonpeas
68,113,87,15.978651527142668,43.117475169213776,7.789312877619474,227.92461108562384,banana
90,64,55,25.450254331278437,96.26932640251961,4.452930531388355,237.06805745210949,jute
64,42,80,31.77599965379683,30.366347647041593,6.0337437447231475,58.844754719966666,wheat
67,42,95,39.510273813580156,76.62848796182102,7.951929642623618,112.99622537602559,blackgram
88,77,68,28.467647797261534,59.431642189669034,5.391146174794825,205.4644231093541,banana
132,21,76,25.01260085470355,75.10195112122571,8.36173497648442,278.2157118105674,blackgram
110,30,14,16.605279513207186,34.7717989170042,4.46970038885802,76.37580668019136,pigeonpeas
109,93,130,29.47382886231953,33.60453999806897,7.185576497917041,281.5197465881305,apple
45,26,86,18.976040460707868,51.017446706574006,4.544326212711976,35.64485592605231,kidneybeans
41,108,72,18.587735820760862,54.93556751191794,5.1999291180664455,150.3975764763207,papaya
99,96,50,34.30925290682933,48.58587921676267,4.929535053082968,58.30857966522934,ragi
139,115,74,21.944434124630913,41.71917578925175,5.201575540359047,236.73155988218434,maize
15,76,126,21.231771083945205,68.35321608507346,6.674792827332066,215.40613953887132,banana
114,78,17,30.28668093749505,59.756206121367974,8.288557950137932,139.8717568920427,pigeonpeas
32,85,16,16.571254728913676,48.25894703637416,8.239883334659233,186.51081789354535,mungbean
50,70,120,24.154953802373903,25.853212578947684,8.06203242701655,236.898265160553,papaya
110,116,49,27.314658006202343,95.29887623542075,5.8785981071684255,43.600030445778486,ragi
92,28,17,23.73196866842173,52.98684976522851,7.013063073490773,245.4520292843935,chickpea
93,62,101,41.37182628481054,51.3142729274114,8.162779508460611,154.84696117555,sugarcane
119,24,81,26.467600381348273,83.14194504405936,7.937748175670645,92.71468397790377,wheat
122,22,25,17.7375521949201,55.28828865099475,8.102913603000511,204.56747477356146,wheat
66,89,129,35.19553406781645,31.165762239377035,4.4345561622113925,157.76816397418753,barley
89,37,27,16.909012029570242,84.7035275696642,7.985702506154396,256.05037409184644,grapes
114,80,83,31.067675160627005,39.93299984855828,7.9550733777632505,255.32836124857698,banana
127,16,46,29.28986402400546,27.96534670983983,7.56615752009342,131.63258169689732,kidneybeans
42,99,80,27.144444436142102,82.25357896277195,7.060033092653246,269.14051937714123,ragi
47,23,33,25.06315615667828,66.18979183618305,6.596879280163905,168.86985803829432,mango
119,55,125,35.72353422443118,62.54616715110697,8.062483665082986,114.04646161887723,lentil
66,27,85,20.425589782301277,82.63988855556244,6.30995700454419,88.66258322152464,mango
30,139,19,24.087656707476526,80.6146533012412,5.05101944506427,52.98730930320616,cotton
65,121,110,32.22105230860653,97.2916569209332,7.515644717198619,65.28713633775288,wheat
110,104,41,38.092261143169026,25.18665574385833,4.054386076597459,80.27186205001907,barley
37,19,120,23.331005222784164,21.748795711041666,8.469907174916937,35.26415655701698,kidneybeans
92,39,111,34.439137215605044,89.4601743232221,7.9335485368702106,276.18726004819746,pomegranate
